  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.16346E+05    0.15686E+05   450   447     3
    0.16123E+05    0.15686E+05   449   447     3
    0.15903E+05    0.15686E+05   448   447     3
    0.15686E+05    0.15686E+05   447   447     3
    0.15472E+05    0.15686E+05   446   447     3
    0.15261E+05    0.15686E+05   445   447     3
    0.15053E+05    0.15686E+05   444   447     3
    0.14848E+05    0.15686E+05   443   447     3
    0.14645E+05    0.15686E+05   442   447     3
    0.14445E+05    0.15686E+05   441   447     3
    0.14248E+05    0.15686E+05   440   447     3
    0.14054E+05    0.15686E+05   439   447     3
    0.13862E+05    0.15686E+05   438   447     3
    0.13673E+05    0.15686E+05   437   447     3
    0.13486E+05    0.15686E+05   436   447     3
    0.13302E+05    0.15686E+05   435   447     3
    0.13121E+05    0.15686E+05   434   447     3
    0.12942E+05    0.15686E+05   433   447     3
    0.12765E+05    0.15686E+05   432   447     3
