 
 # along tip axis: rho=0, s=   100.000000000000     
 91.50   -0.202268E-01    3.0500   -0.607E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 92.00   -0.206784E-01    3.0667   -0.620E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 92.50   -0.211459E-01    3.0833   -0.634E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 93.00   -0.216294E-01    3.1000   -0.649E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 93.50   -0.221289E-01    3.1167   -0.664E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 94.00   -0.226444E-01    3.1333   -0.679E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 94.50   -0.231754E-01    3.1500   -0.695E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 95.00   -0.237217E-01    3.1667   -0.712E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 95.50   -0.242837E-01    3.1833   -0.729E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 96.00   -0.248636E-01    3.2000   -0.746E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 96.50   -0.254681E-01    3.2167   -0.764E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 97.00   -0.261163E-01    3.2333   -0.783E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 97.50   -0.268563E-01    3.2500   -0.806E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 98.00   -0.278101E-01    3.2667   -0.834E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 98.50   -0.292885E-01    3.2833   -0.879E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 99.00   -0.321069E-01    3.3000   -0.963E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 99.50   -0.384871E-01    3.3167   -0.115E+01 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
100.00   -0.214876E-01    3.3333   -0.645E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
100.50    0.000000E+00    3.3500    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
100.98    0.000000E+00    3.3660    0.000E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 
 # along tip axis: rho=0, s=   102.000000000000     
 -0.23   -0.452326E-04   -0.0075   -0.136E-02 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 -0.11   -0.452417E-04   -0.0038   -0.136E-02 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.00   -0.443852E-02    0.0000   -0.133E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  0.50   -0.543081E-02    0.0167   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.00   -0.543123E-02    0.0333   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  1.50   -0.543191E-02    0.0500   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.00   -0.543284E-02    0.0667   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  2.50   -0.543403E-02    0.0833   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.00   -0.543548E-02    0.1000   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  3.50   -0.543718E-02    0.1167   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.00   -0.543913E-02    0.1333   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  4.50   -0.544135E-02    0.1500   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.00   -0.544382E-02    0.1667   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  5.50   -0.544655E-02    0.1833   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.00   -0.544954E-02    0.2000   -0.163E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  6.50   -0.545279E-02    0.2167   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  7.00   -0.545630E-02    0.2333   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  7.50   -0.546007E-02    0.2500   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  8.00   -0.546410E-02    0.2667   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  8.50   -0.546840E-02    0.2833   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  9.00   -0.547296E-02    0.3000   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
  9.50   -0.547779E-02    0.3167   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 10.00   -0.548288E-02    0.3333   -0.164E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 10.50   -0.548825E-02    0.3500   -0.165E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 11.00   -0.549388E-02    0.3667   -0.165E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
